# Source: NASA POWER, power.larc.nasa.gov, S3 Zarr store nasa-power/syn1deg/temporal/power_syn1deg_daily_temporal_utc.zarr
# Variables: ALLSKY_SFC_SW_DWN (GHI), CLRSKY_SFC_SW_DWN, ALLSKY_SFC_SW_DNI, ALLSKY_SFC_SW_DIFF
# Grid resolution: 1-degree (nearest-grid-cell lookup)
# Units raw: W m-2 (daily mean); *_Whm2day = raw * 24 h = daily total Wh/m2/day
# Date range: 2022-08-22 to 2022-08-29 (mirrors BWSC 2027 race window)
# Retrieved: 2026-06-21
location,cumulative_km,lat_grid,lon_grid,date,ghi_Wm2,clrsky_ghi_Wm2,dni_Wm2,diff_Wm2,ghi_Whm2day,clrsky_ghi_Whm2day,dni_Whm2day,diff_Whm2day
Darwin,0,-12.5,130.5,2022-08-22,273.98,277.35,312.09,58.11,6575.5,6656.4,7490.2,1394.6
Darwin,0,-12.5,130.5,2022-08-23,268.66,273.3,299.28,59.5,6447.8,6559.2,7182.7,1428.0
Darwin,0,-12.5,130.5,2022-08-24,271.79,276.45,296.7,61.33,6523.0,6634.8,7120.8,1471.9
Darwin,0,-12.5,130.5,2022-08-25,276.03,280.81,298.75,66.24,6624.7,6739.4,7170.0,1589.8
Darwin,0,-12.5,130.5,2022-08-26,272.88,277.49,300.06,65.32,6549.1,6659.8,7201.4,1567.7
Darwin,0,-12.5,130.5,2022-08-27,269.55,274.56,296.8,66.42,6469.2,6589.4,7123.2,1594.1
Darwin,0,-12.5,130.5,2022-08-28,264.74,274.88,310.37,65.8,6353.8,6597.1,7448.9,1579.2
Darwin,0,-12.5,130.5,2022-08-29,252.77,269.88,254.4,79.16,6066.5,6477.1,6105.6,1899.8
Katherine,310,-14.5,132.5,2022-08-22,276.54,276.64,339.77,39.32,6637.0,6639.4,8154.5,943.7
Katherine,310,-14.5,132.5,2022-08-23,275.15,275.18,326.09,43.09,6603.6,6604.3,7826.2,1034.2
Katherine,310,-14.5,132.5,2022-08-24,282.5,282.63,338.13,47.96,6780.0,6783.1,8115.1,1151.0
Katherine,310,-14.5,132.5,2022-08-25,284.61,284.75,337.9,46.19,6830.6,6834.0,8109.6,1108.6
Katherine,310,-14.5,132.5,2022-08-26,280.58,280.64,332.81,43.74,6733.9,6735.4,7987.4,1049.8
Katherine,310,-14.5,132.5,2022-08-27,273.31,273.44,326.41,43.47,6559.4,6562.6,7833.8,1043.3
Katherine,310,-14.5,132.5,2022-08-28,273.3,274.54,324.78,40.49,6559.2,6589.0,7794.7,971.8
Katherine,310,-14.5,132.5,2022-08-29,229.64,266.19,208.79,81.22,5511.4,6388.6,5011.0,1949.3
Daly Waters,580,-16.5,133.5,2022-08-22,267.48,267.64,325.71,42.25,6419.5,6423.4,7817.0,1014.0
