# Source: NASA POWER, power.larc.nasa.gov, S3 Zarr store nasa-power/syn1deg/temporal/power_syn1deg_daily_temporal_utc.zarr
# Variables: ALLSKY_SFC_SW_DWN (GHI), CLRSKY_SFC_SW_DWN, ALLSKY_SFC_SW_DNI, ALLSKY_SFC_SW_DIFF
# Grid resolution: 1-degree (nearest-grid-cell lookup)
# Units raw: W m-2 (daily mean); *_Whm2day = raw * 24 h = daily total Wh/m2/day
# Date range: 2022-08-22 to 2022-08-29 (mirrors BWSC 2027 race window)
# Retrieved: 2026-06-21
location,cumulative_km,lat_grid,lon_grid,date,ghi_Wm2,clrsky_ghi_Wm2,dni_Wm2,diff_Wm2,ghi_Whm2day,clrsky_ghi_Whm2day,dni_Whm2day,diff_Whm2day
Daly Waters,580,-16.5,133.5,2022-08-23,266.56,266.59,310.56,46.28,6397.4,6398.2,7453.4,1110.7
Daly Waters,580,-16.5,133.5,2022-08-24,276.52,276.64,325.8,53.14,6636.5,6639.4,7819.2,1275.4
Daly Waters,580,-16.5,133.5,2022-08-25,283.96,284.07,348.56,43.44,6815.0,6817.7,8365.4,1042.6
Daly Waters,580,-16.5,133.5,2022-08-26,274.25,274.62,323.72,45.99,6582.0,6590.9,7769.3,1103.8
Daly Waters,580,-16.5,133.5,2022-08-27,268.19,268.68,323.92,43.34,6436.6,6448.3,7774.1,1040.2
Daly Waters,580,-16.5,133.5,2022-08-28,265.12,267.8,314.88,43.42,6362.9,6427.2,7557.1,1042.1
Daly Waters,580,-16.5,133.5,2022-08-29,216.53,258.94,199.07,80.72,5196.7,6214.6,4777.7,1937.3
Tennant Creek,850,-19.5,134.5,2022-08-22,258.02,258.77,316.54,45.38,6192.5,6210.5,7597.0,1089.1
Tennant Creek,850,-19.5,134.5,2022-08-23,259.71,260.15,290.81,59.67,6233.0,6243.6,6979.4,1432.1
Tennant Creek,850,-19.5,134.5,2022-08-24,271.79,271.91,327.47,59.42,6523.0,6525.8,7859.3,1426.1
Tennant Creek,850,-19.5,134.5,2022-08-25,273.85,274.0,357.38,37.99,6572.4,6576.0,8577.1,911.8
Tennant Creek,850,-19.5,134.5,2022-08-26,266.2,267.53,331.6,42.24,6388.8,6420.7,7958.4,1013.8
Tennant Creek,850,-19.5,134.5,2022-08-27,257.91,258.1,305.49,47.36,6189.8,6194.4,7331.8,1136.6
Tennant Creek,850,-19.5,134.5,2022-08-28,247.24,250.18,271.12,54.04,5933.8,6004.3,6506.9,1297.0
Tennant Creek,850,-19.5,134.5,2022-08-29,209.57,243.58,178.14,85.22,5029.7,5845.9,4275.4,2045.3
Barrow Creek,1120,-21.5,133.5,2022-08-22,244.7,256.7,336.96,38.51,5872.8,6160.8,8087.0,924.2
Barrow Creek,1120,-21.5,133.5,2022-08-23,252.12,258.97,336.18,38.96,6050.9,6215.3,8068.3,935.0
Barrow Creek,1120,-21.5,133.5,2022-08-24,264.85,267.32,365.44,42.59,6356.4,6415.7,8770.6,1022.2
Barrow Creek,1120,-21.5,133.5,2022-08-25,269.14,269.17,398.62,24.97,6459.4,6460.1,9566.9,599.3
Barrow Creek,1120,-21.5,133.5,2022-08-26,263.57,266.22,362.22,31.99,6325.7,6389.3,8693.3,767.8
Barrow Creek,1120,-21.5,133.5,2022-08-27,260.33,263.78,355.1,32.64,6247.9,6330.7,8522.4,783.4
Barrow Creek,1120,-21.5,133.5,2022-08-28,226.29,255.89,235.52,69.92,5431.0,6141.4,5652.5,1678.1
Barrow Creek,1120,-21.5,133.5,2022-08-29,158.46,246.41,108.2,98.4,3803.0,5913.8,2596.8,2361.6
Alice Springs,1400,-23.5,133.5,2022-08-22,249.39,250.97,343.9,35.65,5985.4,6023.3,8253.6,855.6
Alice Springs,1400,-23.5,133.5,2022-08-23,255.4,256.02,340.38,43.6,6129.6,6144.5,8169.1,1046.4
Alice Springs,1400,-23.5,133.5,2022-08-24,259.76,260.21,371.64,38.63,6234.2,6245.0,8919.4,927.1
Alice Springs,1400,-23.5,133.5,2022-08-25,259.93,262.37,383.53,28.9,6238.3,6296.9,9204.7,693.6
Alice Springs,1400,-23.5,133.5,2022-08-26,250.33,260.56,327.09,55.81,6007.9,6253.4,7850.2,1339.4
Alice Springs,1400,-23.5,133.5,2022-08-27,247.89,259.15,341.5,31.54,5949.4,6219.6,8196.0,757.0
Alice Springs,1400,-23.5,133.5,2022-08-28,113.52,250.23,93.29,76.0,2724.5,6005.5,2239.0,1824.0
Alice Springs,1400,-23.5,133.5,2022-08-29,209.1,250.53,182.88,93.93,5018.4,6012.7,4389.1,2254.3
Kulgera,1670,-25.5,133.5,2022-08-22,247.25,247.46,366.79,30.66,5934.0,5939.0,8803.0,735.8
Kulgera,1670,-25.5,133.5,2022-08-23,254.03,254.33,370.9,33.96,6096.7,6103.9,8901.6,815.0
Kulgera,1670,-25.5,133.5,2022-08-24,254.41,254.8,381.28,32.81,6105.8,6115.2,9150.7,787.4
Kulgera,1670,-25.5,133.5,2022-08-25,254.59,257.21,385.43,28.04,6110.2,6173.0,9250.3,673.0
Kulgera,1670,-25.5,133.5,2022-08-26,233.99,255.37,304.91,70.27,5615.8,6128.9,7317.8,1686.5
Kulgera,1670,-25.5,133.5,2022-08-27,257.65,257.78,379.88,29.97,6183.6,6186.7,9117.1,719.3
Kulgera,1670,-25.5,133.5,2022-08-28,234.78,252.7,295.64,50.92,5634.7,6064.8,7095.4,1222.1
Kulgera,1670,-25.5,133.5,2022-08-29,254.06,254.6,360.99,34.78,6097.4,6110.4,8663.8,834.7
Coober Pedy,2040,-29.5,134.5,2022-08-22,219.99,221.58,327.51,31.85,5279.8,5317.9,7860.2,764.4
Coober Pedy,2040,-29.5,134.5,2022-08-23,211.91,230.11,291.99,59.31,5085.8,5522.6,7007.8,1423.4
Coober Pedy,2040,-29.5,134.5,2022-08-24,222.95,231.84,341.88,30.86,5350.8,5564.2,8205.1,740.6
Coober Pedy,2040,-29.5,134.5,2022-08-25,200.82,231.02,270.39,67.76,4819.7,5544.5,6489.4,1626.2
Coober Pedy,2040,-29.5,134.5,2022-08-26,184.14,229.12,189.06,84.52,4419.4,5498.9,4537.4,2028.5
Coober Pedy,2040,-29.5,134.5,2022-08-27,223.03,231.37,310.0,48.46,5352.7,5552.9,7440.0,1163.0
Coober Pedy,2040,-29.5,134.5,2022-08-28,227.85,231.03,317.96,41.02,5468.4,5544.7,7631.0,984.5
Coober Pedy,2040,-29.5,134.5,2022-08-29,237.75,239.42,366.41,31.01,5706.0,5746.1,8793.8,744.2
Glendambo,2290,-30.5,135.5,2022-08-22,204.54,212.54,285.7,45.14,4909.0,5101.0,6856.8,1083.4
Glendambo,2290,-30.5,135.5,2022-08-23,199.97,225.51,287.49,53.36,4799.3,5412.2,6899.8,1280.6
Glendambo,2290,-30.5,135.5,2022-08-24,208.52,225.98,320.45,46.81,5004.5,5423.5,7690.8,1123.4
Glendambo,2290,-30.5,135.5,2022-08-25,210.45,223.15,292.69,52.99,5050.8,5355.6,7024.6,1271.8
Glendambo,2290,-30.5,135.5,2022-08-26,174.05,220.77,177.03,80.89,4177.2,5298.5,4248.7,1941.4
Glendambo,2290,-30.5,135.5,2022-08-27,214.77,221.26,303.34,43.95,5154.5,5310.2,7280.2,1054.8
Glendambo,2290,-30.5,135.5,2022-08-28,215.46,222.65,277.48,55.59,5171.0,5343.6,6659.5,1334.2
Glendambo,2290,-30.5,135.5,2022-08-29,227.6,234.4,340.99,37.34,5462.4,5625.6,8183.8,896.2
Port Augusta,2550,-32.5,137.5,2022-08-22,158.13,202.97,198.66,57.31,3795.1,4871.3,4767.8,1375.4
Port Augusta,2550,-32.5,137.5,2022-08-23,172.61,214.99,273.16,47.27,4142.6,5159.8,6555.8,1134.5
Port Augusta,2550,-32.5,137.5,2022-08-24,159.28,213.84,208.93,65.0,3822.7,5132.2,5014.3,1560.0
Port Augusta,2550,-32.5,137.5,2022-08-25,138.34,207.72,151.16,67.15,3320.2,4985.3,3627.8,1611.6
Port Augusta,2550,-32.5,137.5,2022-08-26,119.42,209.0,104.43,82.35,2866.1,5016.0,2506.3,1976.4
Port Augusta,2550,-32.5,137.5,2022-08-27,178.54,210.37,197.64,70.11,4285.0,5048.9,4743.4,1682.6
Port Augusta,2550,-32.5,137.5,2022-08-28,202.74,214.16,259.29,43.38,4865.8,5139.8,6223.0,1041.1
Port Augusta,2550,-32.5,137.5,2022-08-29,204.36,222.03,308.33,41.74,4904.6,5328.7,7399.9,1001.8
Adelaide,3022,-34.5,138.5,2022-08-22,92.06,192.56,102.53,51.79,2209.4,4621.4,2460.7,1243.0
Adelaide,3022,-34.5,138.5,2022-08-23,174.46,203.26,289.01,37.04,4187.0,4878.2,6936.2,889.0
Adelaide,3022,-34.5,138.5,2022-08-24,127.47,200.45,198.98,57.79,3059.3,4810.8,4775.5,1387.0
Adelaide,3022,-34.5,138.5,2022-08-25,154.33,195.19,169.2,67.86,3703.9,4684.6,4060.8,1628.6
Adelaide,3022,-34.5,138.5,2022-08-26,140.33,198.21,144.82,73.91,3367.9,4757.0,3475.7,1773.8
Adelaide,3022,-34.5,138.5,2022-08-27,170.65,200.72,221.88,58.86,4095.6,4817.3,5325.1,1412.6
Adelaide,3022,-34.5,138.5,2022-08-28,188.66,206.48,271.37,32.26,4527.8,4955.5,6512.9,774.2
Adelaide,3022,-34.5,138.5,2022-08-29,130.7,207.27,153.92,62.88,3136.8,4974.5,3694.1,1509.1
