# Source: NASA POWER, power.larc.nasa.gov, S3 Zarr store nasa-power/syn1deg/temporal/power_syn1deg_daily_temporal_utc.zarr
# Variables: ALLSKY_SFC_SW_DWN (GHI), CLRSKY_SFC_SW_DWN, ALLSKY_SFC_SW_DNI, ALLSKY_SFC_SW_DIFF
# Grid resolution: 1-degree (nearest-grid-cell lookup)
# Units raw: W m-2 (daily mean); *_Whm2day = raw * 24 h = daily total Wh/m2/day
# Date range: 2023-08-22 to 2023-08-29 (mirrors BWSC 2027 race window)
# Retrieved: 2026-06-21
location,cumulative_km,lat_grid,lon_grid,date,ghi_Wm2,clrsky_ghi_Wm2,dni_Wm2,diff_Wm2,ghi_Whm2day,clrsky_ghi_Whm2day,dni_Whm2day,diff_Whm2day
Alice Springs,1400,-23.5,133.5,2023-08-28,263.82,264.08,388.23,27.64,6331.7,6337.9,9317.5,663.4
Alice Springs,1400,-23.5,133.5,2023-08-29,262.66,262.9,382.81,28.49,6303.8,6309.6,9187.4,683.8
Kulgera,1670,-25.5,133.5,2023-08-22,243.38,243.42,353.25,34.35,5841.1,5842.1,8478.0,824.4
Kulgera,1670,-25.5,133.5,2023-08-23,249.33,249.36,366.74,33.77,5983.9,5984.6,8801.8,810.5
Kulgera,1670,-25.5,133.5,2023-08-24,254.14,254.57,384.11,31.35,6099.4,6109.7,9218.6,752.4
Kulgera,1670,-25.5,133.5,2023-08-25,256.69,257.38,387.16,29.29,6160.6,6177.1,9291.8,703.0
Kulgera,1670,-25.5,133.5,2023-08-26,253.55,253.57,378.77,30.14,6085.2,6085.7,9090.5,723.4
Kulgera,1670,-25.5,133.5,2023-08-27,256.07,256.13,379.47,31.44,6145.7,6147.1,9107.3,754.6
Kulgera,1670,-25.5,133.5,2023-08-28,258.87,258.9,386.5,29.91,6212.9,6213.6,9276.0,717.8
Kulgera,1670,-25.5,133.5,2023-08-29,259.63,259.65,381.41,30.07,6231.1,6231.6,9153.8,721.7
Coober Pedy,2040,-29.5,134.5,2023-08-22,225.92,227.01,375.26,25.03,5422.1,5448.2,9006.2,600.7
Coober Pedy,2040,-29.5,134.5,2023-08-23,228.47,228.73,373.52,22.51,5483.3,5489.5,8964.5,540.2
Coober Pedy,2040,-29.5,134.5,2023-08-24,225.73,226.3,353.72,27.47,5417.5,5431.2,8489.3,659.3
Coober Pedy,2040,-29.5,134.5,2023-08-25,221.75,222.35,336.5,31.49,5322.0,5336.4,8076.0,755.8
Coober Pedy,2040,-29.5,134.5,2023-08-26,223.39,225.92,331.74,32.17,5361.4,5422.1,7961.8,772.1
Coober Pedy,2040,-29.5,134.5,2023-08-27,222.38,231.67,300.3,56.62,5337.1,5560.1,7207.2,1358.9
Coober Pedy,2040,-29.5,134.5,2023-08-28,234.23,234.34,365.66,27.1,5621.5,5624.2,8775.8,650.4
Coober Pedy,2040,-29.5,134.5,2023-08-29,216.27,233.15,295.76,37.06,5190.5,5595.6,7098.2,889.4
