# Source: NASA POWER, power.larc.nasa.gov, S3 Zarr store nasa-power/syn1deg/temporal/power_syn1deg_daily_temporal_utc.zarr
# Variables: ALLSKY_SFC_SW_DWN (GHI), CLRSKY_SFC_SW_DWN, ALLSKY_SFC_SW_DNI, ALLSKY_SFC_SW_DIFF
# Grid resolution: 1-degree (nearest-grid-cell lookup)
# Units raw: W m-2 (daily mean); *_Whm2day = raw * 24 h = daily total Wh/m2/day
# Date range: 2024-08-22 to 2024-08-29 (mirrors BWSC 2027 race window)
# Retrieved: 2026-06-21
location,cumulative_km,lat_grid,lon_grid,date,ghi_Wm2,clrsky_ghi_Wm2,dni_Wm2,diff_Wm2,ghi_Whm2day,clrsky_ghi_Whm2day,dni_Whm2day,diff_Whm2day
Darwin,0,-12.5,130.5,2024-08-22,251.9,267.45,259.82,77.54,6045.6,6418.8,6235.7,1861.0
Darwin,0,-12.5,130.5,2024-08-23,260.3,269.59,273.92,79.18,6247.2,6470.2,6574.1,1900.3
Darwin,0,-12.5,130.5,2024-08-24,250.71,266.32,256.8,73.38,6017.0,6391.7,6163.2,1761.1
Darwin,0,-12.5,130.5,2024-08-25,258.0,268.37,264.39,74.91,6192.0,6440.9,6345.4,1797.8
Darwin,0,-12.5,130.5,2024-08-26,259.36,269.62,256.79,78.68,6224.6,6470.9,6163.0,1888.3
Darwin,0,-12.5,130.5,2024-08-27,263.47,274.02,259.07,81.94,6323.3,6576.5,6217.7,1966.6
Darwin,0,-12.5,130.5,2024-08-28,267.38,276.38,271.7,76.15,6417.1,6633.1,6520.8,1827.6
Darwin,0,-12.5,130.5,2024-08-29,268.86,278.49,296.4,62.98,6452.6,6683.8,7113.6,1511.5
Katherine,310,-14.5,132.5,2024-08-22,268.19,270.35,327.13,41.04,6436.6,6488.4,7851.1,985.0
Katherine,310,-14.5,132.5,2024-08-23,273.78,273.89,347.14,35.95,6570.7,6573.4,8331.4,862.8
Katherine,310,-14.5,132.5,2024-08-24,251.58,268.2,260.86,76.47,6037.9,6436.8,6260.6,1835.3
Katherine,310,-14.5,132.5,2024-08-25,275.13,275.31,346.39,37.38,6603.1,6607.4,8313.4,897.1
Katherine,310,-14.5,132.5,2024-08-26,268.0,268.06,313.68,46.51,6432.0,6433.4,7528.3,1116.2
Katherine,310,-14.5,132.5,2024-08-27,274.69,275.17,339.64,37.05,6592.6,6604.1,8151.4,889.2
Katherine,310,-14.5,132.5,2024-08-28,273.07,276.02,338.62,41.64,6553.7,6624.5,8126.9,999.4
Katherine,310,-14.5,132.5,2024-08-29,279.4,279.56,342.41,37.58,6705.6,6709.4,8217.8,901.9
Daly Waters,580,-16.5,133.5,2024-08-22,260.94,261.23,336.85,34.37,6262.6,6269.5,8084.4,824.9
Daly Waters,580,-16.5,133.5,2024-08-23,266.86,266.97,349.21,32.74,6404.6,6407.3,8381.0,785.8
Daly Waters,580,-16.5,133.5,2024-08-24,263.69,266.06,315.58,48.13,6328.6,6385.4,7573.9,1155.1
Daly Waters,580,-16.5,133.5,2024-08-25,266.03,266.21,328.85,35.94,6384.7,6389.0,7892.4,862.6
