# Source: NASA POWER S3 Zarr — 3-year average of Aug 22-29 (2022, 2023, 2024)
# See irradiance_aug_YYYY.csv files for per-year raw data
# Retrieved: 2026-06-21
location,cumulative_km,lat_grid,lon_grid,calendar_mmdd,years_averaged,ghi_Wm2_avg,clrsky_ghi_Wm2_avg,dni_Wm2_avg,diff_Wm2_avg,ghi_Whm2day_avg,clrsky_ghi_Whm2day_avg,dni_Whm2day_avg,diff_Whm2day_avg
Glendambo,2290,-30.5,135.5,08-23,3,202.8,219.19,284.51,52.02,4867.23,5260.63,6828.17,1248.53
Glendambo,2290,-30.5,135.5,08-24,3,201.07,218.46,285.85,50.47,4825.77,5242.97,6860.4,1211.27
Glendambo,2290,-30.5,135.5,08-25,3,209.54,215.66,279.02,51.69,5028.97,5175.77,6696.57,1240.5
Glendambo,2290,-30.5,135.5,08-26,3,204.29,222.84,277.83,52.15,4902.97,5348.07,6667.9,1251.53
Glendambo,2290,-30.5,135.5,08-27,3,217.61,222.15,299.24,49.88,5222.7,5331.67,7181.77,1197.13
Glendambo,2290,-30.5,135.5,08-28,3,221.69,224.4,324.61,36.96,5320.53,5385.53,7790.7,886.97
Glendambo,2290,-30.5,135.5,08-29,3,217.56,230.1,300.95,46.08,5221.43,5522.3,7222.8,1105.93
Katherine,310,-14.5,132.5,08-22,3,271.9,272.65,331.34,41.18,6525.63,6543.7,7952.17,988.43
Katherine,310,-14.5,132.5,08-23,3,273.48,273.57,337.27,40.12,6563.43,6565.7,8094.5,962.8
Katherine,310,-14.5,132.5,08-24,3,268.4,274.0,309.69,55.06,6441.6,6576.07,7432.63,1321.37
Katherine,310,-14.5,132.5,08-25,3,277.2,277.32,338.11,41.6,6652.77,6655.67,8114.67,998.5
Katherine,310,-14.5,132.5,08-26,3,275.36,275.51,331.18,42.91,6608.7,6612.23,7948.23,1029.93
Katherine,310,-14.5,132.5,08-27,3,275.85,276.09,338.34,39.03,6620.33,6626.1,8120.17,936.73
Katherine,310,-14.5,132.5,08-28,3,276.85,278.33,338.59,39.78,6644.4,6679.87,8126.23,954.73
Katherine,310,-14.5,132.5,08-29,3,264.79,277.08,302.26,51.35,6354.97,6649.93,7254.23,1232.47
Kulgera,1670,-25.5,133.5,08-22,3,242.8,243.63,355.96,32.95,5827.27,5847.1,8542.97,790.87
Kulgera,1670,-25.5,133.5,08-23,3,246.7,247.42,361.29,33.25,5920.87,5937.97,8671.07,797.9
Kulgera,1670,-25.5,133.5,08-24,3,247.77,248.81,366.38,32.97,5946.57,5971.53,8793.17,791.2
Kulgera,1670,-25.5,133.5,08-25,3,250.45,252.27,370.1,32.16,6010.73,6054.37,8882.47,771.93
Kulgera,1670,-25.5,133.5,08-26,3,246.3,253.47,349.24,44.27,5911.2,6083.37,8381.83,1062.5
Kulgera,1670,-25.5,133.5,08-27,3,255.31,255.4,374.31,31.69,6127.53,6129.5,8983.37,760.5
Kulgera,1670,-25.5,133.5,08-28,3,249.5,255.5,351.37,37.67,5987.93,6132.07,8432.9,904.07
Kulgera,1670,-25.5,133.5,08-29,3,256.56,256.76,371.57,31.88,6157.43,6162.33,8917.6,765.03
Port Augusta,2550,-32.5,137.5,08-22,3,180.77,204.56,249.27,47.69,4338.53,4909.53,5982.53,1144.63
Port Augusta,2550,-32.5,137.5,08-23,3,176.04,208.72,268.09,43.92,4225.03,5009.3,6434.17,1054.0
Port Augusta,2550,-32.5,137.5,08-24,3,167.18,208.99,215.4,59.57,4012.3,5015.67,5169.57,1429.7
Port Augusta,2550,-32.5,137.5,08-25,3,180.52,209.81,256.64,46.55,4332.57,5035.53,6159.27,1117.2
Port Augusta,2550,-32.5,137.5,08-26,3,176.67,211.63,239.41,53.21,4240.07,5079.1,5745.83,1277.03
Port Augusta,2550,-32.5,137.5,08-27,3,200.34,213.21,278.59,46.22,4808.07,5116.97,6686.17,1109.2
Port Augusta,2550,-32.5,137.5,08-28,3,211.29,216.11,313.44,34.37,5070.9,5186.63,7522.67,824.8
Port Augusta,2550,-32.5,137.5,08-29,3,199.54,218.4,274.36,46.93,4789.0,5241.6,6584.63,1126.27
Tennant Creek,850,-19.5,134.5,08-22,3,254.66,255.1,318.8,42.55,6111.93,6122.33,7651.3,1021.1
Tennant Creek,850,-19.5,134.5,08-23,3,255.82,256.11,311.86,47.08,6139.67,6146.67,7484.53,1129.87
Tennant Creek,850,-19.5,134.5,08-24,3,259.79,259.92,321.47,47.13,6234.97,6238.13,7715.37,1131.13
Tennant Creek,850,-19.5,134.5,08-25,3,260.92,261.03,328.69,41.5,6262.17,6264.63,7888.53,995.93
Tennant Creek,850,-19.5,134.5,08-26,3,258.83,259.39,315.58,45.29,6212.0,6225.27,7573.93,1086.97
Tennant Creek,850,-19.5,134.5,08-27,3,260.54,260.68,318.9,44.01,6252.93,6256.23,7653.53,1056.23
Tennant Creek,850,-19.5,134.5,08-28,3,258.24,259.46,311.01,44.06,6197.83,6227.03,7464.33,1057.47
Tennant Creek,850,-19.5,134.5,08-29,3,245.39,257.04,277.62,55.46,5889.27,6169.03,6662.9,1330.97
